USD,74.412786
Euro,87.583359
GBP,102.302732
AUD,54.803085
CAD,59.241408
SGD,54.693308
CHF,80.906462
RM,17.603892
Yen,0.673127
CNY,11.482321
ARP,0.772758
BHD,197.906345
BWP,6.70609
BRL,14.306687
BND,54.693308
BGN,44.78066
CLP,0.097634
COP,0.019175
CRK,11.621819
CZK,3.415121
DKK,11.779448
AED,20.262161
HKD,9.57765
HUF,0.243272
INR,1
ISK,0.589591
IDR,0.005138
IRR,0.001771
ILS,22.753832
KZT,0.174674
KWD,246.979074
LYD,16.510747
MUR,1.741061
MXN,3.711452
NZD,51.893845
NOK,8.393235
OMR,193.531302
PKR,0.4627
PHP,1.479769
PLN,19.15997
QAR,20.443073
RON,17.794174
Ruble,1.00708
SAR,19.843409
ZAR,5.009235
KRW,0.064635
SLR,0.37323
SEK,8.563096
TWD,2.650294
THB,2.258457
TTD,10.980086
TRY,8.699617
VEB,1.81201E-13
